Date,Open,High,Low,Close,Adj Close,Volume,5MA,8MA,13MA,12EMA,26EMA,MACD
4/28/1980,0.946514,0.954026,0.946514,0.946514,0.004014,6604400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/29/1980,0.946514,0.954026,0.946514,0.946514,0.004025,3853800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/30/1980,0.949018,0.951522,0.939002,0.946514,0.004035,4358000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/1980,0.951522,0.954026,0.926482,0.946514,0.003929,4123400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/2/1980,0.926482,0.928986,0.916466,0.946514,0.003897,10033900,0.946514,#N/A,#N/A,#N/A,#N/A,#N/A
5/5/1980,0.91897,0.928986,0.916466,0.946514,0.00394,4018600,0.946514,#N/A,#N/A,#N/A,#N/A,#N/A
5/6/1980,0.928986,0.939002,0.926482,0.946514,0.00394,11491600,0.946514,#N/A,#N/A,#N/A,#N/A,#N/A
5/7/1980,0.928986,0.959034,0.926482,0.946514,0.004035,10777700,0.946514,0.946514,#N/A,#N/A,#N/A,#N/A
5/8/1980,0.951522,0.954026,0.941506,0.946514,0.004004,4278100,0.946514,0.946514,#N/A,#N/A,#N/A,#N/A
5/9/1980,0.94401,0.94401,0.93149,0.946514,0.003982,4328100,0.946514,0.946514,#N/A,#N/A,#N/A,#N/A
5/12/1980,0.939002,0.941506,0.921474,0.946514,0.003972,4587600,0.946514,0.946514,#N/A,#N/A,#N/A,#N/A
5/13/1980,0.936498,0.941506,0.926482,0.946514,0.003972,8511400,0.946514,0.946514,#N/A,0.946514,#N/A,#N/A
5/14/1980,0.936498,0.954026,0.93149,0.946514,0.003961,10408300,0.946514,0.946514,0.946514,0.946514,#N/A,#N/A
5/15/1980,0.933994,0.951522,0.93149,0.946514,0.004014,4772400,0.946514,0.946514,0.946514,0.946514,#N/A,#N/A
5/16/1980,0.946514,0.949018,0.941506,0.946514,0.003993,3429500,0.946514,0.946514,0.946514,0.946514,#N/A,#N/A
5/19/1980,0.941506,0.949018,0.936498,0.946514,0.004025,4043500,0.946514,0.946514,0.946514,0.946514,#N/A,#N/A
5/20/1980,0.949018,0.951522,0.94401,0.946514,0.004025,6110200,0.946514,0.946514,0.946514,0.946514,#N/A,#N/A
5/21/1980,0.949018,0.954026,0.939002,0.946514,0.004046,5376400,0.946514,0.946514,0.946514,0.946514,#N/A,#N/A
